"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 07- 09","79,400","79,600","79,800","79,000","22.41M","-0.63%"
"2021- 07- 08","79,900","81,100","81,100","79,900","6.82K","-1.11%"
"2021- 07- 07","80,800","81,300","81,300","80,300","9.41K","-0.49%"
"2021- 07- 06","81,200","80,500","81,200","80,500","22.57K","1.00%"
"2021- 07- 05","80,400","80,200","80,800","80,000","0.76K","0.50%"
"2021- 07- 04","80,000","80,000","80,000","80,000","","0.00%"
"2021- 07- 02","80,000","80,000","80,400","79,900","8.18M","-0.12%"
"2021- 07- 01","80,100","80,600","80,600","80,000","13.59K","-0.74%"
"2021- 06- 30","80,700","81,200","81,400","80,700","0.97K","-0.37%"
"2021- 06- 29","81,000","81,900","82,100","80,800","1.58K","-1.10%"
"2021- 06- 28","81,900","81,700","82,000","81,600","56.64K","0.37%"
"2021- 06- 27","81,600","81,600","81,600","81,600","","0.00%"
"2021- 06- 25","81,600","81,500","81,900","81,200","12.97M","0.49%"
"2021- 06- 24","81,200","80,300","81,400","80,100","2.11K","1.37%"
"2021- 06- 23","80,100","80,600","80,600","79,900","2.25K","0.13%"
"2021- 06- 22","80,000","80,200","80,300","79,900","1.38K","0.13%"
"2021- 06- 21","79,900","79,700","80,000","79,600","15.99M","-0.75%"
"2021- 06- 20","80,500","80,500","80,500","80,500","","0.00%"
"2021- 06- 18","80,500","81,100","81,100","80,500","14.62M","-0.49%"
"2021- 06- 17","80,900","81,200","81,200","80,700","0.39K","-1.10%"
"2021- 06- 16","81,800","81,400","81,900","81,100","2.27K","1.11%"
"2021- 06- 15","80,900","80,900","81,200","80,600","9.84M","0.50%"
"2021- 06- 14","80,500","80,900","80,900","80,500","1.07K","-0.62%"
"2021- 06- 13","81,000","81,000","81,000","81,000","","0.00%"
"2021- 06- 11","81,000","81,200","81,700","80,700","13.81M","0.00%"
"2021- 06- 10","81,000","81,400","81,400","80,900","0.32K","-0.12%"
"2021- 06- 09","81,100","81,600","82,000","81,100","4.87K","-0.98%"
"2021- 06- 08","81,900","82,300","82,600","81,800","13.46K","0.00%"
"2021- 06- 07","81,900","82,700","82,800","81,600","3.95K","-0.36%"
"2021- 06- 06","82,200","82,200","82,200","82,200","","0.00%"
"2021- 06- 04","82,200","82,700","82,700","81,500","18.06M","-0.72%"
"2021- 06- 03","82,800","81,300","83,000","81,100","12.10K","2.48%"
"2021- 06- 02","80,800","80,400","81,400","80,300","1.27K","0.25%"
"2021- 06- 01","80,600","80,400","81,200","80,100","4.06K","0.12%"
"2021- 05- 31","80,500","80,300","80,600","79,600","13.28M","0.50%"
"2021- 05- 30","80,100","80,100","80,100","80,100","","0.00%"
"2021- 05- 28","80,100","79,800","80,400","79,400","12.27M","0.63%"
"2021- 05- 27","79,600","80,000","80,000","79,100","1.51K","-0.25%"
"2021- 05- 26","79,800","80,300","80,500","79,700","0.79K","-0.13%"
"2021- 05- 25","79,900","80,000","80,400","79,800","12.55M","0.25%"
"2021- 05- 24","79,700","80,100","80,400","79,500","0.88K","-0.50%"
"2021- 05- 23","80,100","80,100","80,100","80,100","","0.00%"
"2021- 05- 21","80,100","80,100","81,500","79,800","20.80M","0.75%"
"2021- 05- 20","79,500","79,400","79,700","79,100","0.32K","-0.13%"
"2021- 05- 19","79,600","79,600","79,600","79,600","","0.00%"
"2021- 05- 18","79,600","79,600","80,000","79,100","17.27M","0.00%"
"2021- 05- 17","79,600","80,900","80,900","79,200","6.45K","-0.62%"
"2021- 05- 16","80,100","80,100","80,100","80,100","","0.00%"
"2021- 05- 14","80,100","79,000","80,300","78,900","16.37M","2.04%"
"2021- 05- 13","78,500","78,900","79,600","78,500","4.26K","-1.88%"
"2021- 05- 12","80,000","80,900","81,100","79,800","9.71K","-1.48%"
"2021- 05- 11","81,200","82,500","82,500","81,100","12.16K","-2.40%"
"2021- 05- 10","83,200","82,300","83,500","81,800","7.02K","1.59%"
"2021- 05- 09","81,900","81,900","81,900","81,900","","0.00%"
"2021- 05- 07","81,900","81,800","82,100","81,500","12.80M","-0.49%"
"2021- 05- 06","82,300","81,700","82,300","81,700","16.85M","-0.36%"
"2021- 05- 05","82,600","82,600","82,600","82,600","","0.00%"
"2021- 05- 04","82,600","81,900","82,600","81,800","12.29M","1.10%"
"2021- 05- 03","81,700","81,000","82,400","81,000","15.58M","0.25%"
"2021- 05- 02","81,500","81,500","81,500","81,500","","0.00%"
"2021- 04- 30","81,500","81,900","82,100","81,500","17.26M","-0.24%"
"2021- 04- 29","81,700","82,400","82,400","81,500","2.84K","-0.49%"
"2021- 04- 28","82,100","83,100","83,200","82,100","6.80K","-0.97%"
"2021- 04- 27","82,900","83,300","83,300","82,500","3.86K","-0.72%"
"2021- 04- 26","83,500","82,900","83,500","82,600","3.37K","0.85%"
"2021- 04- 25","82,800","82,800","82,800","82,800","","0.00%"
"2021- 04- 23","82,800","81,900","82,900","81,600","17.74M","0.49%"
"2021- 04- 22","82,400","82,800","83,000","82,400","8.15K","-0.24%"
"2021- 04- 21","82,600","83,400","83,500","82,500","0.44K","-1.55%"
"2021- 04- 20","83,900","83,300","84,000","83,200","4.40K","0.72%"
"2021- 04- 19","83,300","83,900","84,000","83,300","11.08K","-0.72%"
"2021- 04- 18","83,900","83,900","83,900","83,900","","0.00%"
"2021- 04- 16","83,900","84,700","84,700","83,600","15.34M","-0.24%"
"2021- 04- 15","84,100","83,700","84,500","83,400","1.01K","0.12%"
"2021- 04- 14","84,000","84,100","84,300","83,400","4.37K","0.00%"
"2021- 04- 13","84,000","83,000","84,500","82,900","1.05K","0.96%"
"2021- 04- 12","83,200","84,000","84,100","83,100","16.47K","-0.48%"
"2021- 04- 11","83,600","83,600","83,600","83,600","","0.00%"
"2021- 04- 09","83,600","84,700","84,900","83,400","17.79M","-1.30%"
"2021- 04- 08","84,700","85,700","85,700","84,100","19.17M","-1.05%"
"2021- 04- 07","85,600","86,100","86,200","85,400","5.60K","-0.47%"
"2021- 04- 06","86,000","86,100","86,200","85,100","10.26K","0.70%"
"2021- 04- 05","85,400","85,800","86,000","84,800","0.84K","0.71%"
"2021- 04- 04","84,800","84,800","84,800","84,800","","0.00%"
"2021- 04- 02","84,800","84,000","85,200","83,900","22.89M","2.29%"
"2021- 04- 01","82,900","82,400","83,000","82,000","0.93K","1.84%"
"2021- 03- 31","81,400","82,100","82,100","81,400","0.54K","-0.97%"
"2021- 03- 30","82,200","81,600","82,300","81,300","13.05M","0.74%"
"2021- 03- 29","81,600","81,700","81,700","81,000","9.87K","0.12%"
"2021- 03- 28","81,500","81,500","81,500","81,500","","0.00%"
"2021- 03- 26","81,500","81,400","81,600","81,000","12.73M","0.37%"
"2021- 03- 25","81,200","80,900","82,100","80,800","0.45K","0.25%"
"2021- 03- 24","81,000","81,100","81,600","80,700","14.93K","-0.98%"
"2021- 03- 23","81,800","82,500","82,800","81,800","5.98K","-0.24%"
"2021- 03- 22","82,000","82,000","82,300","81,700","12.55M","0.12%"
"2021- 03- 21","81,900","81,900","81,900","81,900","","0.00%"
"2021- 03- 19","81,900","82,100","82,500","81,800","15.69M","-1.21%"
"2021- 03- 18","82,900","82,800","83,800","82,600","2.15K","0.73%"
"2021- 03- 17","82,300","82,800","82,800","82,100","32.00K","-0.60%"
"2021- 03- 16","82,800","82,300","83,000","82,100","3.55K","1.22%"
"2021- 03- 15","81,800","82,800","82,900","81,800","0.40K","-1.21%"
"2021- 03- 14","82,800","82,800","82,800","82,800","","0.00%"
"2021- 03- 12","82,800","83,100","83,500","82,400","13.41M","0.98%"
"2021- 03- 11","82,000","81,000","82,500","81,000","0.96K","1.36%"
"2021- 03- 10","80,900","82,400","82,500","80,700","8.86K","-0.61%"
"2021- 03- 09","81,400","81,500","81,900","80,600","1.24K","-0.73%"
"2021- 03- 08","82,000","83,000","83,000","81,600","6.72K","-0.12%"
"2021- 03- 07","82,100","82,100","82,100","82,100","","0.00%"
"2021- 03- 05","82,100","81,100","82,600","81,100","20.35M","-0.36%"
"2021- 03- 04","82,400","82,700","83,100","82,200","8.75K","-1.90%"
"2021- 03- 03","84,000","83,400","84,000","82,800","3.80K","0.48%"
"2021- 03- 02","83,600","85,000","85,300","83,000","7.76K","1.33%"
"2021- 03- 01","82,500","82,500","82,500","82,500","","0.00%"
"2021- 02- 26","82,500","82,800","83,400","82,000","36.72M","-3.28%"
"2021- 02- 25","85,300","84,000","85,400","83,000","6.35K","4.02%"
"2021- 02- 24","82,000","81,900","83,600","81,400","0.98K","0.00%"
"2021- 02- 23","82,000","81,300","82,900","81,100","7.03K","-0.24%"
"2021- 02- 22","82,200","83,800","84,200","82,200","17.48K","-0.48%"
"2021- 02- 21","82,600","82,600","82,600","82,600","","0.00%"
"2021- 02- 19","82,600","82,300","82,800","81,000","25.47M","0.61%"
"2021- 02- 18","82,100","83,200","83,600","82,100","24.28K","-1.32%"
"2021- 02- 17","83,200","83,900","84,200","83,000","16.79K","-2.00%"
"2021- 02- 16","84,900","84,500","86,000","84,200","24.26K","0.83%"
"2021- 02- 15","84,200","83,700","84,500","83,400","0.80K","3.19%"
"2021- 02- 14","81,600","81,600","81,600","81,600","","0.00%"
"2021- 02- 10","81,600","82,600","82,600","81,600","22.58M","-1.33%"
"2021- 02- 09","82,700","84,000","84,800","82,700","5.17K","-0.36%"
"2021- 02- 08","83,000","83,800","84,200","83,000","2.14K","-0.60%"
"2021- 02- 07","83,500","83,500","83,500","83,500","","0.00%"
"2021- 02- 05","83,500","83,100","84,000","82,500","17.14M","1.21%"
"2021- 02- 04","82,500","83,500","83,800","82,100","2.51K","-2.48%"
"2021- 02- 03","84,600","84,800","85,400","83,400","8.89K","0.24%"
"2021- 02- 02","84,400","84,100","86,300","83,700","0.51K","1.69%"
"2021- 02- 01","83,000","81,800","83,400","81,000","1.45K","1.22%"
"2021- 01- 31","82,000","82,000","82,000","82,000","","0.00%"
"2021- 01- 29","82,000","84,500","85,000","82,000","36.70M","-2.03%"
"2021- 01- 28","83,700","83,400","85,600","83,300","2.27K","-2.22%"
"2021- 01- 27","85,600","86,700","87,700","85,600","25.96K","-1.27%"
"2021- 01- 26","86,700","88,800","89,200","86,500","6.49K","-3.02%"
"2021- 01- 25","89,400","87,100","89,900","86,400","25.11K","3.00%"
"2021- 01- 24","86,800","86,800","86,800","86,800","","0.00%"
"2021- 01- 22","86,800","89,000","89,700","86,800","30.43M","-1.48%"
"2021- 01- 21","88,100","87,500","88,600","86,500","5.95K","1.03%"
"2021- 01- 20","87,200","88,900","88,900","86,500","3.38K","0.23%"
"2021- 01- 19","87,000","84,600","88,000","83,600","7.56K","2.35%"
"2021- 01- 18","85,000","86,700","87,300","84,200","19.68K","-3.41%"
"2021- 01- 17","88,000","88,000","88,000","88,000","","0.00%"
"2021- 01- 15","88,000","89,800","91,800","88,000","33.12M","-1.90%"
"2021- 01- 14","89,700","88,800","90,000","88,700","8.26K","0.00%"
"2021- 01- 13","89,700","89,900","91,100","89,200","35.22K","-0.99%"
"2021- 01- 12","90,600","90,500","91,300","87,900","29.49K","-0.44%"
"2021- 01- 11","91,000","90,100","96,700","90,000","41.26K","2.48%"
"2021- 01- 10","88,800","88,800","88,800","88,800","","0.00%"
"2021- 01- 08","88,800","83,300","90,000","83,000","57.52M","7.12%"
"2021- 01- 07","82,900","82,800","84,200","82,700","32.47M","0.85%"
"2021- 01- 06","82,200","83,400","84,400","82,100","13.53K","-2.03%"
"2021- 01- 05","83,900","81,700","83,900","81,700","8.14K","1.08%"
"2021- 01- 04","83,000","81,000","84,300","80,300","24.25K","2.47%"
